ans_idx,symptoms,persona,model_ans
0,思慮過度、心血不足、心悸虛煩,我最近睡得很差，腦子裡一直胡思亂想，停不下來。感覺心臟跳得很快，很煩躁，好像心血不足一樣。,a
0,思慮過度、心血不足、失眠神疲,我最近壓力很大，腦子裡一直胡思亂想，睡不著，就算睡著了也睡得很淺，醒來後還是很累，感覺心神耗弱。,a
0,思慮過度、心血不足、健忘,我最近睡得很差，腦子裡一直胡思亂想，停不下來。而且心悸氣短，記憶力也變差了，很多事情都記不住。,a
0,思慮過度、心血不足、口舌生瘡,我最近睡得很差，腦子裡一直胡思亂想，停不下來。感覺心臟無力，氣血不足，嘴巴和舌頭都破了。,a
0,思慮過度、心悸虛煩、心血不足,我最近睡得很差，腦子裡一直胡思亂想，停不下來。心臟跳得很快，人也煩躁不安，感覺心血不足，很虛弱。,a
0,思慮過度、心悸虛煩、失眠神疲,我最近壓力很大，腦子裡一直胡思亂想，睡覺時心臟跳很快，人也覺得煩躁不安，整晚都睡不著，早上起來還是很累。,a
0,思慮過度、心悸虛煩、健忘,我最近睡得很差，腦子裡一直胡思亂想，停不下來。心臟也跳得很快，很煩躁。而且記性變得很差，很多事情都記不住。,a
0,思慮過度、心悸虛煩、口舌生瘡,我最近睡得很差，腦子裡一直胡思亂想，停不下來。心臟跳得很快，人也煩躁不安，嘴巴和舌頭都破了。,a
0,思慮過度、失眠神疲、心血不足,我最近壓力很大，腦子裡一直胡思亂想，晚上睡不著，白天精神很差，感覺心臟無力。,a
0,思慮過度、失眠神疲、心悸虛煩,我最近壓力很大，腦子裡一直胡思亂想，晚上睡不著，白天也覺得很累，心臟跳得很快，人也煩躁不安。,a
0,思慮過度、失眠神疲、健忘,我最近腦子一直轉個不停，晚上睡不著，白天精神很差，記憶力也變差了。,a
0,思慮過度、失眠神疲、口舌生瘡,我最近壓力很大，腦子裡一直胡思亂想，晚上睡不著，白天也覺得很累，嘴巴和舌頭還破了。,a
0,思慮過度、健忘、心血不足,我最近睡得很差，腦子裡一直胡思亂想，很多事情都記不住。而且我常常覺得心臟無力，氣血不足。,a
0,思慮過度、健忘、心悸虛煩,我最近睡得很差，腦子裡一直胡思亂想，很多事情都記不住。躺下後心臟跳得很快，人也覺得煩躁不安。,a
0,思慮過度、健忘、失眠神疲,我最近腦子一直轉個不停，想很多事情，結果什麼都記不住。晚上睡不著，白天沒精神，整個人都很疲倦。,a
0,思慮過度、健忘、口舌生瘡,我最近睡得很差，腦子裡一直胡思亂想，很多事情都記不住，嘴巴和舌頭上還破了好多洞。,a
0,思慮過度、口舌生瘡、心血不足,我最近睡得很差，腦子裡一直胡思亂想，停不下來。嘴巴破了好多洞，而且覺得心臟無力，好像快不行了。,a
0,思慮過度、口舌生瘡、心悸虛煩,我最近睡得很差，腦子裡一直胡思亂想，停不下來。嘴巴破了好多洞，心臟也跳得很快，整個人都很煩躁。,a
0,思慮過度、口舌生瘡、失眠神疲,我最近壓力很大，腦子裡一直胡思亂想，睡不著覺，就算睡著了也很容易醒來。嘴巴破了好多洞，人也變得很累。,a
0,思慮過度、口舌生瘡、健忘,我最近睡得很差，腦子裡一直胡思亂想，停不下來。嘴巴破了好多洞，記性也變得很差，什麼事都記不住。,a
0,心血不足、思慮過度、心悸虛煩,我最近睡得很差，常常心悸、心煩，感覺心臟跳得不夠力，而且一直胡思亂想，腦子停不下來。,a
0,心血不足、思慮過度、失眠神疲,我最近睡得很差，常常半夜醒來就睡不著，腦子裡一直胡思亂想，感覺心臟無力、疲倦不堪。,a
0,心血不足、思慮過度、健忘,我最近睡眠很差，常常半夜醒來，醒來後就心悸、心慌，白天也容易健忘，想事情想太多。,a
0,心血不足、思慮過度、口舌生瘡,我最近睡得很差，常常半夜醒來，而且醒來後就睡不著了。白天也容易心悸、健忘，嘴巴破洞，講話都痛。,a
0,心血不足、心悸虛煩、思慮過度,我最近睡得很差，常常心悸、心煩意亂，而且腦子一直胡思亂想，停不下來。,a
0,心血不足、心悸虛煩、失眠神疲,我最近睡得很差，常常心悸、心煩，晚上睡不著，白天精神很差，很疲倦。,c
0,心血不足、心悸虛煩、健忘,我最近睡眠很差，常常覺得心臟無力、跳動很快，而且容易心煩意亂，記憶力也變差了。,a
0,心血不足、心悸虛煩、口舌生瘡,我最近睡眠很差，常常心悸、心煩意亂，而且嘴巴破洞、舌頭也痛。,a
0,心血不足、失眠神疲、思慮過度,我最近睡得很差，常常半夜醒來就睡不著，白天也覺得很累、沒精神，而且一直胡思亂想，腦子停不下來。,a
0,心血不足、失眠神疲、心悸虛煩,我最近睡得很差，常常半夜醒來，醒來後心悸、煩躁，白天也覺得很累，沒精神。,h
0,心血不足、失眠神疲、健忘,我最近睡得很差，常常半夜醒來就睡不著，白天精神很差，記憶力也變差了，感覺心臟無力，好像快跳不動了。,a
0,心血不足、失眠神疲、口舌生瘡,我最近睡得很差，常常半夜醒來就睡不著，而且覺得心臟無力、全身疲倦，嘴巴破洞、舌頭也痛。,a
0,心血不足、健忘、思慮過度,我最近睡眠很差，常常半夜醒來，而且醒來後就睡不著了。白天精神很差，容易健忘，想事情也比以前慢很多。,a
0,心血不足、健忘、心悸虛煩,我最近睡眠很差，常常覺得心臟無力、健忘，而且心悸、煩躁不安。,c
